Time,DeltaTime,PosX,PosY,PosZ,Pitch,Yaw,Roll,PitchCam,YawCam,RollCam
232.859665,0.061016,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
232.920578,0.060912,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
232.981964,0.061388,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
233.043503,0.061531,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
233.105042,0.061542,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
233.166504,0.061469,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
233.227814,0.061295,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
233.288498,0.060699,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
233.348328,0.059827,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
233.412491,0.064158,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
233.473328,0.060844,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
233.533752,0.060421,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
233.595093,0.061337,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
233.656509,0.061415,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
233.716415,0.059904,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
233.777664,0.061255,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
233.837280,0.059618,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
233.897766,0.060489,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
233.957825,0.060048,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
234.018585,0.060766,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
234.079376,0.060794,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
234.139069,0.059687,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
234.198914,0.059846,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
234.259491,0.060570,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
234.320221,0.060732,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
234.379715,0.059496,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
234.442703,0.062989,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
234.503235,0.060534,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
234.565140,0.061906,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
234.625534,0.060389,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
234.684998,0.059466,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
234.744644,0.059650,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
234.804001,0.059354,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
234.864716,0.060723,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
234.925430,0.060704,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
234.986343,0.060922,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
235.047150,0.060806,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
235.107285,0.060132,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
235.168167,0.060884,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
235.229141,0.060975,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
235.289520,0.060373,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
235.349808,0.060283,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
235.412643,0.062850,330023.000,-80363.000,-175000.000,0.000,0.000,0.000,-10.000,10.000,0.000
